data,concessoes_milhoes,inadimplencia_nao_consignado_pct,juros_nao_consignado_pct_mes,saldo_nao_consignado_milhoes,inadimplencia_consignado_pct,selic_pct_mes,ipca_pct_mes,concessoes_media_movel_3m,concessoes_var_12m_pct_mm3,concessoes_media_movel_6m,concessoes_var_12m_pct_mm6,concessoes_var_12m_pct,saldo_var_12m_pct,inadimplencia_var_12m_pp,diferencial_inadimplencia_pp,premio_sobre_selic_pp,indice_precos_ipca,concessoes_reais_milhoes,saldo_real_milhoes,concessoes_reais_media_movel_3m,concessoes_reais_var_12m_pct_mm3,concessoes_reais_media_movel_6m,concessoes_reais_var_12m_pct_mm6,concessoes_reais_var_12m_pct,saldo_real_var_12m_pct,limite_neutro_concessoes_pct,limite_neutro_inadimplencia_pp,janela_media_movel_meses,percentil_neutro,modo_limite,movimento_concessoes_real,movimento_inadimplencia,cenario_principal
2013-10-01,7118,7.05,5.39,98367,2.7,0.81,0.57,7005.333333333333,2.6372338347333546,7113.666666666667,-0.6656116179482363,2.6372338347333546,9.812786764459624,-1.8099999999999996,4.35,4.58,1.1576576494192108,14013.947539201381,193665.35228837066,13860.601958065965,-3.10520209661167,14130.519604405046,-6.500008792346767,-3.10520209661167,3.756015921744682,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2013-11-01,6501,7.03,5.32,99152,2.67,0.72,0.54,6793.666666666667,1.3425488538610697,6914.0,-0.39616797522149527,1.3425488538610697,9.55416827799569,-1.7700000000000005,4.36,4.6000000000000005,1.1639090007260746,12730.4509780856,194162.38661423526,13377.77873427512,-4.206877130083997,13689.132654808951,-6.120756120566595,-4.206877130083997,3.5734350681398297,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2013-12-01,6639,7.17,5.31,97525,2.67,0.79,0.92,6752.666666666667,-2.1021601507756227,6872.666666666667,1.1008409542256237,-2.1021601507756227,8.750195142621386,-1.7799999999999994,4.5,4.52,1.1746169635327546,12882.17069984451,189235.38145840273,13208.856405710496,-7.5103090503580106,13549.306834590447,-4.570337631906895,-7.5103090503580106,2.680913162678533,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2014-01-01,7013,7.05,5.55,98737,2.64,0.85,0.55,6717.666666666667,-2.264791464597471,6861.5,0.1776328596457155,-2.264791464597471,9.131804365846929,-1.8400000000000007,4.41,4.7,1.1810773568321848,13533.438226822747,190539.15445626658,13048.68663491762,-7.58656192331264,13454.644296491793,-5.331307146146802,-7.58656192331264,3.3589055626706443,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2014-02-01,6606,6.86,5.73,99375,2.6,0.79,0.69,6752.666666666667,0.7910841335389884,6773.166666666667,1.0668987813976516,0.7910841335389884,8.763462043603898,-1.7299999999999995,4.26,4.94,1.1892267905943268,12660.665495687212,190456.1964326244,13025.424807451489,-4.674714373087852,13201.601770863303,-4.438246603720564,-4.674714373087852,2.9179742287777533,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2014-03-01,6603,6.98,5.68,100199,2.63,0.77,0.92,6740.666666666667,-1.5577840521857622,6746.666666666667,-1.830968837152902,-1.5577840521857622,8.514463324561117,-1.4800000000000004,4.3500000000000005,4.91,1.2001676770677947,12539.5519962969,190284.80546372148,12911.218572935619,-6.948775513008821,13060.037489323056,-7.233591206327727,-6.948775513008821,2.2244996214762613,,0.45200000000000035,3,0.2,expanding,Sem historico suficiente,Queda,Sem historico suficiente
2014-04-01,6982,7.09,5.91,101238,2.61,0.82,0.67,6730.333333333333,-3.8523809523809516,6724.0,-3.065833733781842,-3.8523809523809516,8.372137833584903,-1.1799999999999997,4.48,5.09,1.208208800504149,13171.053056763356,190978.38289324098,12790.423516249155,-9.307777380858717,12919.555075583388,-8.446657606549346,-9.307777380858717,1.968730761868831,,0.45600000000000057,3,0.2,expanding,Sem historico suficiente,Queda,Sem historico suficiente
2014-05-01,7080,7.35,5.83,102202,2.68,0.87,0.46,6888.333333333333,-7.852492642468567,6820.5,-3.7671957671957634,-7.852492642468567,8.316464416300139,-0.8000000000000007,4.67,4.96,1.2137665609864678,13294.767250522214,191914.09640365414,13001.790767860824,-13.288247416882315,13013.607787656156,-9.181364037735818,-13.288247416882315,1.8250422208130335,3.813921616618726,0.46000000000000085,3,0.2,expanding,Queda,Queda,Recuperacao do risco
2014-06-01,6650,7.19,5.95,102499,2.52,0.82,0.4,6904.0,-6.883064334846911,6822.333333333333,-4.326282575669039,-6.883064334846911,7.463828894946523,-0.45999999999999996,4.67,5.13,1.2186216272304138,12437.566431445506,191704.98070026058,12967.795579577025,-12.481011398332875,12939.507076256321,-9.805681877672413,-12.481011398332875,0.8826358463358774,4.010399373351362,0.4680000000000007,3,0.2,expanding,Queda,Estavel,Transicao/estabilidade
2014-07-01,6906,7.46,6.0,102401,2.55,0.95,0.01,6878.666666666667,-4.753992430536325,6804.5,-4.310223597243712,-4.753992430536325,7.252008337086413,-0.21999999999999975,4.91,5.05,1.2187434893931368,12915.074473840235,191502.5399935873,12882.469385269318,-10.541123432876098,12836.446450759237,-9.930883078894038,-10.541123432876098,0.7039221366499815,4.206877130083997,0.4600000000000003,3,0.2,expanding,Queda,Estavel,Transicao/estabilidade
